LICENSE_NO,TOWER_TX_FREQ,TOWER_RX_FREQ,SITE_NO
1416198,865.7625,820.7625,33164
1416199,866.7625,821.7625,33164
1416200,867.7625,822.7625,33164
1416201,865.8375,820.8375,33951
1416202,866.8375,821.8375,33951
1416203,867.8375,822.8375,33951
1416204,865.4625,820.4625,34270
1416205,866.4625,821.4625,34270
1416206,867.4625,822.4625,34270
1416660,865.3375,820.3375,402275
1416661,866.3375,821.3375,402275
1416662,867.3375,822.3375,402275
1416663,865.1625,820.1625,402276
1416664,866.1625,821.1625,402276
1416665,867.1625,822.1625,402276
1418207,865.4125,820.4125,220486
1418208,866.4125,821.4125,220486
1418209,867.4125,822.4125,220486
1418210,868.4125,823.4125,220486
1418348,865.1625,820.1625,34321
1418349,866.1625,821.1625,34321
1418350,867.1625,822.1625,34321
1418351,868.1625,823.1625,34321
1424507,866.5875,821.5875,32899
1424508,867.5875,822.5875,32899
1424510,869.5875,824.5875,32899
1424511,866.0625,821.0625,32899
1424512,867.0625,822.0625,32899
1424513,869.0625,824.0625,32899
1431413,868.5875,823.5875,32899
1703115,865.0125,820.0125,402277
1703116,865.0375,820.0375,33279
1703117,866.0375,821.0375,33279
1703118,867.0375,822.0375,33279
1703119,865.0625,820.0625,33490
1703120,865.0875,820.0875,700358
1703121,866.0875,821.0875,700358
1703122,867.0875,822.0875,700358
1703124,865.1625,820.1625,33386
1703124,865.1625,820.1625,9008349
1703125,865.2375,820.2375,33170
1703126,866.2375,821.2375,33170
1703127,867.2375,822.2375,33170
1703128,868.2375,823.2375,33170
1703129,865.3875,820.3875,32830
1703130,866.3875,821.3875,32830
1703131,867.3875,822.3875,32830
1703132,868.3875,823.3875,32830
1703133,869.3875,824.3875,32830
1703134,865.3375,820.3375,32946
1703135,866.3375,821.3375,32946
1703136,867.3375,822.3375,32946
1703137,868.3375,823.3375,32946
1703138,869.3375,824.3375,32946
1703139,865.4875,820.4875,33123
1703193,856.7,932.7,402277
1703193,932.7,856.7,33279
1703194,856.1,932.1,152342
1703194,932.1,856.1,33279
1703312,865.1875,820.1875,700438
1703313,866.1875,821.1875,700438
1703314,867.1875,822.1875,700438
1703315,865.2125,820.2125,33909
1703316,866.2125,821.2125,33909
1703317,867.2125,822.2125,33909
1703318,865.2625,820.2625,700816
1703319,866.2625,821.2625,700816
1703320,867.2625,822.2625,700816
1703321,865.2875,820.2875,33806
1703322,866.2875,821.2875,33806
1703323,867.2875,822.2875,33806
1703324,868.2875,823.2875,33806
1703325,869.2875,824.2875,33806
1703326,865.3375,820.3375,33826
1703327,865.3625,820.3625,700696
1703328,865.5875,820.5875,33483
1703329,866.5875,821.5875,33483
1703330,867.5875,822.5875,33483
1703331,865.5625,820.5625,34627
1703332,866.5625,821.5625,34627
1703333,867.5625,822.5625,34627
1703334,865.4625,820.4625,700657
1703335,866.4625,821.4625,700657
1703336,867.4625,822.4625,700657
1703337,868.4625,823.4625,700657
1703338,869.4625,824.4625,700657
1703339,865.5375,820.5375,152342
1703374,865.5875,820.5875,33163
1703375,868.8125,823.8125,33175
1703376,865.3625,820.3625,33177
1703377,866.3625,821.3625,33177
1703378,867.3625,822.3625,33177
1703379,868.0625,823.0625,32982
1703381,865.5625,820.5625,33147
1703382,866.5625,821.5625,33147
1703383,867.5625,822.5625,33147
1703401,855.3,931.3,700438
1703401,931.3,855.3,33950
1703415,868.0125,823.0125,34262
1703416,868.4375,823.4375,700581
1703417,865.4375,820.4375,700354
1703418,865.2375,820.2375,34107
1703419,866.2375,821.2375,34107
1703420,867.2375,822.2375,34107
1703421,868.2375,823.2375,34107
1703422,869.2375,824.2375,34107
1703425,865.7625,820.7625,34025
1703426,866.7625,821.7625,34025
1703427,867.7625,822.7625,34025
1703428,868.2625,823.2625,34258
1703429,868.5375,823.5375,700630
1703430,865.0375,820.0375,305421
1703431,866.0375,821.0375,305421
1703432,867.0375,822.0375,305421
1703433,865.5125,820.5125,34203
1703434,866.5125,821.5125,34203
1703435,867.5125,822.5125,34203
1703436,868.5125,823.5125,34203
1703437,868.3625,823.3625,402278
1703438,865.5875,820.5875,33445
1703439,866.5875,821.5875,33445
1703440,867.5875,822.5875,33445
1703441,865.8125,820.8125,33990
1703442,866.8125,821.8125,33990
1703443,867.8125,822.8125,33990
1703444,868.1625,823.1625,53932
1703445,868.8375,823.8375,700224
1703511,866.0625,821.0625,33490
1703512,867.0625,822.0625,33490
1703513,868.0375,823.0375,33279
1703514,869.0375,824.0375,33279
1703515,865.8375,820.8375,32946
1703516,866.8375,821.8375,32946
1703517,866.1625,821.1625,33386
1703517,866.1625,821.1625,9008349
1703518,867.1625,822.1625,33386
1703518,867.1625,822.1625,9008349
1703519,869.2375,824.2375,33170
1703521,867.1125,822.1125,9008350
1703522,866.4875,821.4875,33123
1703523,867.4875,822.4875,33123
1703524,865.8875,820.8875,32830
1703525,866.8875,821.8875,32830
1703526,867.8875,822.8875,32830
1703527,868.0875,823.0875,700358
1703528,869.0875,824.0875,700358
1703531,865.9625,820.9625,700657
1703533,868.2125,823.2125,33909
1703534,865.7875,820.7875,33806
1703535,868.5625,823.5625,34627
1703536,866.3625,821.3625,700696
1703537,867.3625,822.3625,700696
1703538,865.9125,865.9125,220486
1703539,866.9125,866.9125,220486
1703540,865.4125,865.4125,220486
1703541,867.9125,867.9125,220486
1703542,868.9125,868.9125,220486
1703543,869.9125,869.9125,220486
1703544,866.4125,866.4125,220486
1703545,869.4125,869.4125,220486
1703546,867.4125,867.4125,220486
1703547,868.4125,868.4125,220486
1703674,854.9,930.9,33746
1703674,930.9,854.9,33909
1703675,854.5,930.5,700630
1703675,930.5,854.5,34448
1703724,854.5,930.5,53932
1703724,930.5,854.5,33806
1703799,866.5375,821.5375,152342
1703800,867.5375,822.5375,152342
1703820,868.1125,823.1125,9008350
1703821,869.1125,824.1125,9008350
1703927,865.1375,820.1375,33169
1704010,856.5,932.5,32982
1704010,932.5,856.5,33177
1704030,868.2625,823.2625,700579
1704031,865.5375,820.5375,700580
1704032,866.5375,821.5375,700580
1704033,867.5375,822.5375,700580
1704034,868.8375,823.8375,33186
1704036,866.3375,821.3375,33826
1704037,867.3375,822.3375,33826
1704038,854.7,930.7,700581
1704038,930.7,854.7,33177
1704197,865.4875,820.4875,34261
1704198,866.4875,821.4875,34261
1704199,867.4875,822.4875,34261
1704305,865.4375,820.4375,700628
1704306,866.4375,821.4375,700628
1704307,867.4375,822.4375,700628
1704308,868.4375,823.4375,700628
1704309,865.7125,820.7125,33909
1704310,869.2125,824.2125,33909
1704311,868.5375,823.5375,700580
1704312,869.5375,824.5375,700580
1704313,865.5375,820.5375,700630
1704314,866.5375,821.5375,700630
1704315,867.5375,822.5375,700630
1704316,866.1125,821.1125,700632
1704317,865.1125,820.1125,700632
1704318,867.1125,822.1125,700632
1704319,868.1125,823.1125,700632
1704320,866.0125,821.0125,402277
1704321,867.0125,822.0125,402277
1704322,868.0125,823.0125,402277
1704323,865.8375,820.8375,700224
1704324,866.8375,821.8375,700224
1704325,867.8375,822.8375,700224
1704516,866.4375,821.4375,700354
1704517,867.4375,822.4375,700354
1704518,867.1625,822.1625,53932
1704519,869.1625,824.1625,53932
1704520,868.5375,823.5375,152342
1704521,866.1125,821.1125,9008350
1704522,866.0125,821.0125,34262
1704523,867.0125,822.0125,34262
1704524,869.0125,824.0125,700816
1704527,869.5125,824.5125,34203
1704533,865.7375,820.7375,34107
1704539,865.6125,820.6125,700358
1704540,866.6125,821.6125,700358
1704541,867.6125,822.6125,700358
1704547,868.8375,823.8375,700694
1704612,865.7625,820.7625,700687
1704613,866.7625,821.7625,700687
1704614,867.7625,822.7625,700687
1704615,868.7625,823.7625,700687
1704616,869.7625,824.7625,700687
1704638,865.8375,820.8375,700694
1704639,866.8375,821.8375,700694
1704640,867.8375,822.8375,700694
1704641,865.7625,820.7625,700695
1704642,866.7625,821.7625,700695
1704643,867.7625,822.7625,700695
1704670,865.2375,820.2375,700699
1704671,866.2375,821.2375,700699
1704672,867.2375,822.2375,700699
1704673,865.8875,820.8875,700789
1704674,865.6375,820.6375,700700
1704675,866.6375,821.6375,700700
1704676,867.6375,822.6375,700700
1704819,868.5625,823.5625,33757
1902826,865.9625,820.9625,33160
1902827,866.9625,821.9625,33160
1902828,867.9625,822.9625,33160
1902829,865.0375,820.0375,33950
1902830,866.0375,821.0375,33950
1902831,867.0375,822.0375,33950
1902832,868.0375,823.0375,33950
1902833,869.0375,824.0375,33950
1902834,869.7625,824.7625,33950
1902835,865.8875,820.8875,33746
1902836,866.8875,821.8875,33746
1902837,867.8875,822.8875,33746
1902838,868.8875,823.8875,33746
1902839,869.8875,824.8875,33746
1902840,868.8375,823.8375,33951
1902992,867.0625,822.0625,32982
1902994,869.0625,824.0625,32982
1902995,866.5375,821.5375,33163
1902996,867.5375,822.5375,33163
1902998,866.1375,821.1375,33169
1902999,867.1375,822.1375,33169
1903000,868.1125,823.1125,700438
1903001,865.4875,820.4875,700283
1903002,866.4875,821.4875,700283
1903003,867.4875,822.4875,700283
1903004,868.5875,823.5875,700283
1903005,867.3625,822.3625,402278
1903006,869.1125,824.1125,402278
1903007,868.5375,823.5375,34261
1903008,865.9625,820.9625,101147
1903009,866.9625,821.9625,101147
1903010,867.9625,822.9625,101147
1903011,868.9625,823.9625,101147
1903012,869.9625,824.9625,101147
1903013,865.4625,820.4625,101147
1903014,868.7625,823.7625,34025
1903015,868.3375,823.3375,402275
1903016,867.2625,822.2625,34258
1903017,866.2625,821.2625,34258
1903018,865.1125,820.1125,34262
1903019,866.1125,821.1125,34262
1903020,867.1125,822.1125,34262
1903021,868.1125,823.1125,34262
1903022,869.1125,824.1125,34262
1903319,865.9625,820.9625,32721
1903320,866.9625,821.9625,32721
1903321,867.9625,822.9625,32721
1903322,868.9625,823.9625,32721
1903323,869.9625,824.9625,32721
1903324,865.4625,820.4625,32721
1903325,866.4625,821.4625,32721
1903326,867.4375,822.4375,700581
1903327,868.6375,823.6375,700581
1903328,867.8375,822.8375,33186
1903329,869.8375,824.8375,33186
1903330,865.7375,820.7375,9008241
1903331,866.7375,821.7375,9008241
1903332,867.7375,822.7375,9008241
1903333,868.8375,823.8375,9008241
1903334,869.8375,824.8375,9008241
1903335,867.8125,822.8125,33175
1903336,866.6375,821.6375,33175
1903337,867.2625,822.2625,700579
1903338,866.2625,821.2625,700579
1903339,868.1625,823.1625,9008349
1903340,869.5375,824.5375,152342
1903341,865.2125,820.2125,9008238
1903342,866.2125,821.2125,9008238
1903343,867.2125,822.2125,9008238
1903344,868.2125,823.2125,9008238
1903345,869.2125,824.2125,9008238
1903346,868.0625,823.0625,33490
1903347,868.3625,823.3625,33177
1903348,866.8875,821.8875,700789
1903349,867.8875,822.8875,700789
1903350,868.2375,823.2375,700699
1903351,868.7625,823.7625,700695
1903352,868.7625,823.7625,33164
1903353,868.4625,823.4625,33123
1903354,867.6375,822.6375,9008246
1903355,868.6375,823.6375,9008246
1903356,865.6375,820.6375,9008246
1903357,866.6375,821.6375,9008246
1903358,868.5875,823.5875,33483
1903359,868.5875,823.5875,33445
1903360,867.5625,822.5625,33757
1903361,869.5625,824.5625,33757
1906707,866.7875,866.7875,220486
1906708,867.7875,867.7875,220486
1906709,868.7875,868.7875,220486
1906710,866.6125,866.6125,220486
1906711,867.6125,867.6125,220486
1906712,865.4125,820.4125,220486
1906713,866.4125,821.4125,220486
1906714,867.4125,822.4125,220486
1906715,868.4125,823.4125,220486
1906716,869.4125,824.4125,220486
1906717,865.9125,820.9125,220486
1906718,866.9125,821.9125,220486
1906720,867.9125,822.9125,220486
1906721,868.9125,823.9125,220486
1906722,869.9125,824.9125,220486
1911173,865.2875,820.2875,404801
1911174,866.2875,821.2875,404801
1911175,867.2875,822.2875,404801
1911176,868.2875,823.2875,404801
1911177,869.2875,824.2875,404801
1923525,869.5375,824.5375,34261
1923526,869.8375,824.8375,700224
1923527,869.1625,824.1625,34321
1923528,868.3375,823.3375,33826
1923529,866.0625,821.0625,32982
1923530,868.5375,823.5375,33163
1923531,868.1375,823.1375,33169
1923532,868.9625,823.9625,33160
1923533,868.0375,823.0375,305421
1923534,868.6375,823.6375,700700
1923535,868.4625,823.4625,34270
1924519,865.5125,820.5125,700358
1924520,866.5125,821.5125,700358
1924521,865.0125,820.0125,33746
1926361,865.4625,820.4625,602789
1926362,866.4625,821.4625,602789
1926363,867.4625,822.4625,602789
1926364,868.4625,823.4625,602789