SITE_NO, LATITUDE, LONGITUDE, NAME,STATE,LICENSING_AREA_ID,POSTCODE,SITE_PRECISION,ELEVATION,HCIS_L2, CHANNELS
32721,-42.879222,147.328147,Police Headquarters 30-32 Bathurst Street HOBART,TAS,4,7000,Within 10 metres,15,LY9N,48
32722,-42.87781,147.327319,Corner of Campbell & Melville Streets HOBART,TAS,4,7000,Within 10 metres,18,LY9N,4
32725,-42.878461,147.326465,Tas Fire Service Corner of Argyle and Melville Street HOBART,TAS,4,7000,Within 10 metres,16,LY9N,17
32830,-42.897566,147.236358,Broadcast Australia Site Pinnacle Rd MT WELLINGTON,TAS,4,7008,Within 10 metres,1222,LY9M,67
32899,-42.832041,147.223933,TasNetworks - Site GOAT HILLS GOAT HILLS,TAS,4,7012,Within 10 metres,594,LY9M,84
32946,-42.866061,147.457558,TasNetworks - Site Guy Fawkes Hill GUY FAWKES HILL,TAS,4,7170,Within 10 metres,329,LY9N,62
32982,-42.018302,146.75519,Tasmania Fire Service Site BARREN TIER,TAS,4,7030,Within 10 metres,1182,LY8D,28
33123,-42.367848,147.471248,TasNetworks site Mt Seymour OATLANDS,TAS,4,7120,Within 10 metres,739,LY9F,44
33147,-42.774729,146.071029,TasNetworks Site Twelve Trees Range STRATHGORDON,TAS,5,7139,Within 10 metres,663,LY8M,16
33160,-42.716104,146.46609,TasNetworks Site MT Tim Shea MAYDENA,TAS,5,7140,Within 10 metres,903,LY8J,28
33163,-42.775274,146.654628,TasNetworks Site Abbotts Lookout MAYDENA,TAS,5,7140,Within 10 metres,1059,LY8O,26
33164,-42.412421,146.463994,TasNetworks Site Heals Spur WAYATINAH,TAS,5,7140,Within 10 metres,684,LY8F,60
33169,-42.661025,146.737502,Norske Skoge / Telstra Site BELCHERS LOOKOUT,TAS,4,7140,Within 10 metres,610,LY8K,80
33170,-42.844896,146.960447,Fletcher Challenge Site MT LLOYD,TAS,4,7140,Within 10 metres,915,LY8P,43
33175,-42.48603,146.64005,TasNetworks Site Bilton Hill BILTON HILL,TAS,5,7140,Unknown,361,LY8G,32
33177,-42.27083,146.544503,TasNetworks Site Bradys Sugarloaf WAYATINAH,TAS,5,7140,Within 10 metres,999,LY8G,56
33186,-42.22421,146.13887,Comm Site MT KING WILLIAM,TAS,5,7140,Unknown,871,LY8A,35
33279,-43.091209,147.116492,TasNetworks Site GREY MOUNTAIN,TAS,4,7150,Within 10 metres,828,LZ3A,42
33378,-42.125091,148.073402,Broadcast Site Reservoir Noyes St SWANSEA,TAS,4,7190,Unknown,2,MY7A,13
33386,-42.512706,147.924074,Council Reservoir Site TRIABUNNA,TAS,4,7190,Unknown,undefined,LY9L,6
33445,-40.92693,145.1743,Ambulance Site Spinks Hill ALCOMIE,TAS,5,7330,Within 100 metres,264,LY1M,22
33483,-41.534456,148.171399,TasNetworks Site SOUTH SISTER,TAS,4,7215,Within 10 metres,764,MY4I,49
33490,-41.881404,148.296212,Tas Ambulance Service Site near TV Translator Site BICHENO,TAS,4,7215,Within 10 metres,158,MY4N,15
33624,-41.449512,147.215165,TasNetworks Site ABELS HILL,TAS,4,7250,Within 10 metres,226,LY6E,30
33746,-41.103146,146.862179,Police Site MT GEORGE,TAS,4,7253,Within 10 metres,189,LY5D,16
33757,-40.200928,148.252644,Telstra Site Flinders Is VINEGAR HILL,TAS,5,7255,Within 10 metres,86,MY1B,49
33806,-41.377304,147.421683,Air Services Australia Tower MT BARROW,TAS,4,7259,Within 10 metres,1319,LY6F,44
33826,-41.065861,147.736325,TasNetworks and Tasmania Police Site MT HORROR,TAS,4,7265,Within 10 metres,614,LY6C,20
33909,-41.304156,146.77564,Radio Terminal KELLYS LOOKOUT,TAS,4,7303,Within 10 metres,573,LY5H,56
33950,-41.653609,146.826376,TasNetworks Site (Cobblers Hill) CLUAN TIERS,TAS,4,7303,Within 10 metres,796,LY5L,50
33951,-41.810925,146.852858,TasNetworks Site POATINA SADDLE,TAS,4,7301,Within 10 metres,1114,LY5P,46
33990,-41.65947,146.30569,TasNetworks Site WESTERN BLUFF,TAS,5,7304,Unknown,1183,LY5J,28
34025,-41.490482,146.184341,TasNetworks Tower Hydro Tas Site Mt Claude Olivers Rd MOUNT ROLAND,TAS,4,7306,Within 10 metres,858,LY5E,39
34107,-41.210707,146.326956,TasNetworks Site KELCEY TIER,TAS,4,7310,Within 10 metres,206,LY5B,36
34203,-41.06991,145.952357,Council Community Site ROUND HILL,TAS,4,7320,Within 10 metres,176,LY4D,180
34258,-41.449962,145.377831,Broadcast/Comm Site MT CLEVELAND,TAS,5,7321,Within 10 metres,808,LY4F,14
34261,-40.95641,145.529417,Telstra/Ericsson Site MONTUMANA,TAS,4,7321,Within 10 metres,255,LY1O,41
34262,-41.33733,145.731765,TasNetworks Site COMPANION HILL,TAS,4,7321,Within 10 metres,801,LY4G,78
34270,-41.723512,145.136395,Reece Power Station LAKE PIEMAN,TAS,5,7469,Unknown,26,LY4I,10
34321,-40.953144,145.730536,Wynyard Transport Site TABLE CAPE,TAS,4,7325,Within 10 metres,174,LY1O,20
34448,-41.844943,145.537096,TasNetworks Site MT READ MT READ,TAS,5,7470,Within 10 metres,1044,LY4O,46
34627,-42.130174,147.272396,Optus GSM Site TUNBRIDGE TIER,TAS,4,7209,Unknown,893,LY9B,112
53932,-40.056299,148.081011,Ericsson Site Walkers Lookout FLINDERS ISLAND,TAS,5,7255,Within 10 metres,410,MY1A,43
101147,-41.144551,146.078008,Vodafone Site Off White Hills Road SULLOCKS HILL,TAS,4,7316,Within 10 metres,undefined,LY5A,38
152342,-43.104329,147.808798,Ericsson Site MT KOONYA,TAS,4,7184,Unknown,479,LZ3D,36
305421,-41.844801,145.542267,SES site MT READ,TAS,5,7470,Unknown,1093,LY4O,32
402275,-41.58247,146.16571,Ericsson Site LEMONTHYME,TAS,4,7306,Unknown,undefined,LY5I,20
402276,-42.73331,145.97667,Ericsson Site GORDON DAM,TAS,5,7139,Unknown,undefined,LY7L,20
402277,-43.378089,146.993892,Ericsson Site TYLERS HILL,TAS,4,7109,Unknown,496,LZ2H,10
402278,-40.908249,144.705523,Ericsson Site Harcus River Rd MARRAWAH,TAS,5,7330,Unknown,54,KY3O,8
404801,-43.035468,147.035403,Cannils Hill Scenic Hill Rd HUONVILLE,TAS,4,7109,Within 10 metres,undefined,LZ3A,10
602789,-42.149109,145.335635,Water Treatment Plant Tamar Street STRAHAN,TAS,5,7468,Within 10 metres,80,LY7B,10
700224,-41.179065,145.57969,Weather Radar Site WEST TAKONE,TAS,4,7325,Unknown,undefined,LY4C,34
700264,-42.8978,147.236714,Inside BA Tx Bldg Broadcast Australia Site Pinnacle Rd MT WELLINGTON,TAS,4,7008,Within 10 metres,1195,LY9M,27
700283,-41.510907,146.649271,Old HECT Tower North Cotehele Road DELORAINE,TAS,4,7304,Within 10 metres,undefined,LY5K,8
700354,-39.938593,143.892572,Power Station Grassy Road (near Currie) KING ISLAND,TAS,5,7256,Within 100 metres,97,KX8P,6
700358,-42.54785,147.27168,Ericsson Site QUOIN MOUNTAIN,TAS,4,7030,Within 100 metres,874,LY9J,46
700438,-41.54047,146.536835,Ericsson Site GARDNERS RIDGE,TAS,4,7304,Within 10 metres,485,LY5K,20
700579,-42.3321,146.86284,Ericsson Site (via Bothwell) BLUE HILL,TAS,4,7030,Within 10 metres,undefined,LY8H,22
700580,-41.275445,147.275487,Ericsson Site MT ARTHUR,TAS,4,7268,Unknown,980,LY6F,14
700581,-42.139662,146.258659,Ericsson Site (via Derwent Bridge) MOUNT CHARLES,TAS,5,7140,Unknown,973,LY8B,24
700628,-41.8556,147.64318,Ericsson Site Den Hill (via) CAMPBELL TOWN,TAS,4,7213,Unknown,731,LY6O,30
700630,-42.098433,145.603877,Ericsson Site MT OWEN,TAS,5,7467,Unknown,1121,LY7C,10
700632,-42.142789,145.353891,Ericsson Site Lyell Highway (2.5 km east of) STRAHAN,TAS,5,7468,Unknown,undefined,LY7B,8
700657,-41.454554,147.125503,State Government Trunking Site Brougham Street WEST LAUNCESTON,TAS,4,7250,Within 100 metres,192,LY6E,47
700687,-43.15484,147.31731,Telstra Site Roberts Hill CMTS 360 Lennon Road NORTH BRUNY,TAS,4,7150,Within 10 metres,193,LZ3B,41
700694,-40.963557,148.014131,Ericsson Site Gladstone Road (400m SE of) GLADSTONE,TAS,4,7264,Unknown,undefined,MY1M,8
700695,-41.357536,148.237335,Comms Site Lookout FLAGSTAFF HILL,TAS,4,7216,Within 10 metres,undefined,MY4E,39
700696,-41.23359,147.94532,Ericsson Site WELDBOROUGH PASS,TAS,4,7264,Within 10 metres,687,LY6D,26
700699,-40.991531,148.340185,Lighthouse EDDYSTONE POINT,TAS,4,7264,Unknown,undefined,MY1N,8
700700,-41.76257,145.5643,Ericsson Site Mt Black near ROSEBERY,TAS,5,7470,Unknown,886,LY4O,29
700789,-39.765105,144.061937,Ericsson Site Counsel Hill KING ISLAND,TAS,5,7256,Unknown,79,KX9M,30
700816,-41.916958,147.836372,Ericsson Site SNOW HILL,TAS,4,7210,Within 10 metres,950,LY6P,36
9008238,-43.07852,147.7124,Tasmania Police site Griffiths Ridge NUBEENA,TAS,4,7184,Within 10 metres,undefined,LZ3C,26
9008241,-42.785969,147.052758,Police tower Peppermint Hill NEW NORFOLK,TAS,4,7140,Within 10 metres,undefined,LY9M,10
9008246,-42.54894,147.864963,Police Tower Rudds Hill ORFORD,TAS,4,7190,Within 10 metres,162,LY9L,30
9008349,-42.417821,147.950524,Police Tower Hermitage Road TRIABUNNA,TAS,4,7190,Within 10 metres,222,LY9H,34
9008350,-42.50431,147.59093,Police Tower Mt Hobbs Road MT HOBBS,TAS,4,7120,Within 10 metres,782,LY9K,26
9011394,-41.423177,147.112842,"Transend data centre adj to Trevallyn power station,Elouera Street TREVALLYN",TAS,4,7250,Within 10 metres,60,LY6E,2
10005472,-42.908761,147.457789,Tasmania Police Academy Phil Fletcher Drive Rokeby,TAS,4,null,Within 10 metres,undefined,LY9N,4
10005473,-42.906544,147.453975,Clarence Plains Police Station off South Arm Road Rokeby,TAS,4,null,Within 10 metres,undefined,LY9N,2
10005474,-42.906944,147.4513,Tasmania Police Driver Training Track off South Arm Road Rokeby,TAS,4,null,Within 10 metres,undefined,LY9N,2
10009487,-42.86215,147.354525,Camera Pole Eastern Approach to Tasman Bridge Tasman Hwy Montagu Bay,TAS,4,null,Within 10 metres,undefined,LY9N,2